No.,Gene name,Entrez,Mutated samples,Samples tested,Percentage
1824,TNS4,84951,1,63,1.587301587
1825,TOB1,10140,1,63,1.587301587
1826,TOP3B,8940,1,63,1.587301587
1827,TP53,7157,90,168,53.57142857
1828,TP53BP1,7158,1,63,1.587301587
1829,TPCN2,219931,1,63,1.587301587
1830,TPH2,121278,1,63,1.587301587
1831,TPP2,7174,1,63,1.587301587
1832,TPR,7175,1,63,1.587301587
1833,TPRN,286262,1,63,1.587301587
1834,TPSD1,23430,1,63,1.587301587
1835,TRAD,5892,1,63,1.587301587
1836,TRAF3,7187,1,122,0.819672131
1837,TRAIP,10293,1,122,0.819672131
1838,TRAPPC8,22878,1,63,1.587301587
1839,TREM1,54210,1,63,1.587301587
1840,TREML1,340205,1,63,1.587301587
1841,TRIB1,10221,1,63,1.587301587
1842,TRIM35,23087,1,63,1.587301587
1843,TRIM36,55521,1,122,0.819672131
1844,TRIM38,10475,1,63,1.587301587
1845,TRIM43,129868,1,63,1.587301587
1846,TRIM45,80263,1,63,1.587301587
1847,TRIM60,166655,1,63,1.587301587
